category,run,label,params_M,epochs,seed,test_mae_eV,test_rmse_eV,best_val_mae_eV,test_set
single-source,baseline_h128_aug_long_safe,"v1 baseline (leak-free aug, seed=42)",0.7474,50,42,0.5161,1.1314,0.5237,leak_free_v1 ordered (1065 samples)
single-source,v2_pfa_h128_aug_long_safe,v2 full (PFA + LR + DB),0.7444,50,42,0.5193,1.1357,0.543,leak_free_v1 ordered (1065 samples)
single-source,v2_pfa_only,v2 PFA only,0.7523,50,42,0.5277,1.22,0.5384,leak_free_v1 ordered (1065 samples)
single-source,v2_ablate_no_long_range,v2 - long-range,0.7523,50,42,0.5363,1.1705,0.5115,leak_free_v1 ordered (1065 samples)
single-source,v2_ablate_no_pfa,v2 - PFA,0.7395,50,42,0.5472,1.3123,0.5388,leak_free_v1 ordered (1065 samples)
single-source,v2_ablate_no_defect_bias,v2 - defect bias,0.7444,50,42,0.5514,1.2196,0.5286,leak_free_v1 ordered (1065 samples)
single-source,dualstream_h128_imp2d,"v3 dualstream (no aug, seed=42)",1.1423,60,42,0.583,1.1343,0.5684,leak_free_v1 ordered (1065 samples)
single-source,dualstream_h128_aug,v3 dualstream + leak-free aug (seed=42),1.1423,50,42,0.5088,1.1701,0.4979,leak_free_v1 ordered (1065 samples)
single-source,dualstream_h128_aug_seed0,v3 dualstream + leak-free aug (seed=0),1.1423,50,0,0.5344,1.2232,0.5423,leak_free_v1 ordered (1065 samples)
single-source,dualstream_h128_aug_seed1,v3 dualstream + leak-free aug (seed=1),1.1423,50,1,0.5571,1.1277,0.5621,leak_free_v1 ordered (1065 samples)
single-source,dualstream_h128_aug_seed2,v3 dualstream + leak-free aug (seed=2),1.1423,50,2,0.5118,1.1313,0.5369,leak_free_v1 ordered (1065 samples)
multi-source,multi_source_train_v2,v2 multi-source seed=42 (headline),0.8199,60,42,0.4929,1.0477,0.4757,split_indices(seed=N) (1064 samples)
multi-source,multi_source_train_v2_seed0,v2 multi-source seed=0,0.8199,60,0,0.5174,0.991,0.4726,split_indices(seed=N) (1064 samples)
multi-source,multi_source_train_v2_seed1,v2 multi-source seed=1,0.8199,60,1,0.4593,0.8226,0.4808,split_indices(seed=N) (1064 samples)
multi-source,multi_source_train_v2_seed2,v2 multi-source seed=2,0.8199,60,2,0.4729,0.9319,0.558,split_indices(seed=N) (1064 samples)
multi-source,v2_multi_source_4seed_summary,v2 multi-source 4-seed mean +/- std,0.8199,60,"{42,0,1,2}",0.4856 +/- 0.0253,-,-,varies per seed (split-dependent variance)
literature,ALIGNN_team_repro,"ALIGNN (team reproduction, leak-free 1065)",4.030,-,-,0.5400,1.1670,-,leak_free_v1 ordered (1065 samples)
v1 multi-source,multi_source_train_v1,"v1 multi-source (CrystalTransformer + 4 DBs, seed=42)",0.815,60,42,0.5546,-,0.5443,split_indices(seed=42) (1064 samples)
